what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568532187
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568532209
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339568532221
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568534588
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568534598
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568534598
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339568537090
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568537201
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568537216
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339568537228
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568538030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339568539407
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568541534
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568541534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339568544175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339568559566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339568560806
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568561821
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339568566720
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568566831
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339568566845
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568569040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339568572435
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568572961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339568573528
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339568573862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339568575615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339568576165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568622162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568633895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339568635568
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339568638869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568639606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339568640431
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1339568641895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1339568641895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568641906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568642175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568656003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568660937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568664248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568667492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568684984
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339568686041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339568687282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568687800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568698313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568701846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339568714705
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568716068
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339568724853
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568724929
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339568724949
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339568725898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569336067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569507201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569510939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569548404
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339569556748
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339569556892
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339569556903
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339569559132
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339569559143
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339569562332
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339569562352
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339569584173
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339569584190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569585804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569586779
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339569594557
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339569597063
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339569597713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339569600564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339569601022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339569602256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1339569615123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1339569615648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1339569617751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1339569621191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339569623264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339569628659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339569629437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339569634111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339569634569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339569634767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339569635187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569638657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569643019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569644044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569646335
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339569647760
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339569648990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569649614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339569651020
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1339569651509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1339569651509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569651523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569651808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569654577
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339569656741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339569661777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339569662253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339569663915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339569673502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339569675305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339569675682
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569678458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569692217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1339569694817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339569695374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569704993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569791840
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339569794128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569796907
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1339569798179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1339569798180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569798188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569799937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569801743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569804873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569810982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569812976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569814053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569814822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569843181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569844068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569919043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339569928714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570067909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570068554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570069273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570071108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570073558
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1339570075169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339570075950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339570081109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339570081528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570082643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570157046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339570173384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339570180171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570181377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339570252032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339570255302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339570258909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1339570259774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339570260133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1339570264556
